GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java-project,fr.univavignon.pokedex.api,Team,21,0,0,0,4,0,1,0,1,0
java-project,fr.univavignon.pokedex.api,PokemonFactory,28,0,0,0,4,0,2,0,2,0
java-project,fr.univavignon.pokedex.api,PokedexException,4,0,0,0,2,0,1,0,1,0
java-project,fr.univavignon.pokedex.api,PokemonMetadataProvider,26,0,2,0,4,0,3,0,2,0
java-project,fr.univavignon.pokedex.api,Pokedex,77,0,4,0,17,0,10,0,8,0
java-project,fr.univavignon.pokedex.api,PokemonMetadata,33,0,0,0,12,0,6,0,6,0
java-project,fr.univavignon.pokedex.api,PokemonTrainerFactory,19,0,0,0,3,0,2,0,2,0
java-project,fr.univavignon.pokedex.api,PokedexFactory,9,0,0,0,2,0,2,0,2,0
java-project,fr.univavignon.pokedex.api,PokemonTrainer,21,0,0,0,8,0,4,0,4,0
java-project,fr.univavignon.pokedex.api,PokemonComparators,41,0,0,0,8,0,3,0,3,0
java-project,fr.univavignon.pokedex.api,Pokemon,38,0,0,0,12,0,6,0,6,0
